extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control,gender,age,stress,employment,exercise,household_size,friend_smokers,age_first
Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,Female,21,Frequently,Unemployed,Sometimes or a few days every month,4,5,17
Disagree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree moderately,Yes,Female,20,Frequently,Unemployed,Sometimes or a few days every month,5,4,18
Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,No,Female,20,Occasionally,Unemployed,Sometimes or a few days every month,6,2,19
Disagree moderately,Disagree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree moderately,No,Male,21,Frequently,Employed,Often or at least 3 days every week,3,3,19
Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,4,4,19
Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Yes,Female,21,Frequently,Unemployed,Never,4,5,16
Disagree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,5,5,17
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,No,Male,21,Occasionally,Unemployed,Often or at least 3 days every week,5,2,19
Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,No,Male,20,Rarely,Unemployed,Often or at least 3 days every week,4,2,15
Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Agree a little,Disagree moderately,Disagree strongly,Yes,Male,20,Frequently,Unemployed,Never,4,5,17
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Yes,Male,20,Rarely,Unemployed,Often or at least 3 days every week,6,3,19
