extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control,gender,age,stress,employment,exercise,household_size,friend_smokers,age_first
Agree strongly,,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Yes,Male,22,Frequently,Unemployed,Often or at least 3 days every week,6,5,18
Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,No,Male,21,Occasionally,Unemployed,Never,5,3,18
Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,4,4,19
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,6,4,17
Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,Male,22,Occasionally,Unemployed,Sometimes or a few days every month,5,4,17
Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,No,Male,21,Constantly,Unemployed,Sometimes or a few days every month,5,3,19
Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,Yes,Male,26,Occasionally,Unemployed,Every day or at least 5 times every week,6,5,17
Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree a little,No,Male,21,Rarely,Unemployed,Often or at least 3 days every week,4,2,18
Agree moderately,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Male,22,Rarely,Employed,Often or at least 3 days every week,3,1,20
Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Agree strongly,Agree a little,No,Male,21,Rarely,Unemployed,Often or at least 3 days every week,4,2,19
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,No,Female,21,Occasionally,Employed,Sometimes or a few days every month,5,1,19
Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Yes,Male,27,Frequently,Unemployed,Sometimes or a few days every month,3,3,24
Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Yes,Male,21,Frequently,Unemployed,Sometimes or a few days every month,5,5,18
Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Yes,Male,20,Occasionally,Employed,Sometimes or a few days every month,8,4,17
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,6,4,18
Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Yes,Female,28,Occasionally,Employed,Sometimes or a few days every month,4,3,23
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,25,Frequently,Employed,Never,4,2,21
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Yes,Female,24,Frequently,Employed,Never,3,2,10
Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,22,Occasionally,Employed,Never,5,4,19
Disagree a little,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,22,Frequently,Employed,Often or at least 3 days every week,4,5,19
Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree strongly,Yes,Male,25,Frequently,Employed,Sometimes or a few days every month,4,5,20
Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,No,Female,23,Frequently,Unemployed,Never,5,2,19
